Report_ID,Incident_Type,Date,Location,Officer,Organization,Summary
RPT_001,Training / Equipment,"January 19, 2015",Unknown,McMillen,"Fort Smith Police Department
Date","To: Whom it may Concern From: Fort Smith Police Department Date: January 19, 2015 Ref: MRAP The following documentation is intended to document the intended use and training of the Mine Resistatant Am"
RPT_002,Training / Equipment,"June 30th, 2014",Unknown,Training,"Cpl Monty McMillen
5.0 Hours Swat Team Operators CLEET Instructor
Number of Trainees",COURSE: LESSON TITLE: CLEET Continuing Education Course Mine Resistant Ambush Protection Vehicle Operations DURATION: TRAINING LEVEL: PREPARED BY: Cpl Monty McMillen 5.0 Hours Swat Team Operators CLEE
RPT_003,Training / Equipment,Unknown,Unknown,Unknown,"Evacuations / Emergency Situations
Required Training",Evacuations / Emergency Situations Required Training: Basic MRAP Operations Driver Requirements: Completion of Basic MRAP Operations and / or equivalent training at the discretion of the Chief of Poli
RPT_004,Training / Equipment,Unknown,Unknown,Eric Wacaster,Hot Springs Police Department,Hot Springs Police Department S.W.A.T. Training Cover Sheet Subject: MRAP Operations Duration of Class: 8 hours Level of Instruction: Basic Target Group: Hot Springs Police Department S.W.A.T. Team Co
RPT_005,Training / Equipment,Unknown,Rostan,Eric Wacaster,Hot Springs Police Department,Hot Springs Police Department S.W.A.T. Training Course Summary Sheet Course Title: MRAP Operations Purpose of the Course: To familiarize Hot Springs Police Department SWAT Operators with basic MRAP fu
RPT_006,Training / Equipment,Unknown,Unknown,Shut Down,Hot Springs Police Department,"Hot Springs Police Department S.W.A.T. Training Course Outline I. Introduction A. General vehicle familiarization and identification 1. Power Plant 2. Transmission 3. Control Panel 4. Lights, switches"
RPT_007,Training / Equipment,Unknown,Unknown,Zac Rostan,Unknown,References None Training Aids MRAP Coordination Personnel Ofc. Zac Rostan (See “Certification” for Qualifications) 4
RPT_008,Training / Equipment,"January 14, 2015","the United States
Government","Brett Hibbs
Date",the Jacksonville AR Police Department,"To: Whom it may Concern From: Lt. Brett Hibbs Date: January 14, 2015 Ref: MRAP The following documentation is intended to document to intended use and training of the Mine Resistatant Ambush Protectio"
RPT_009,Training / Equipment,Unknown,Unknown,Driver Training Mine Resistant Ambush,"Operations of the Mine Resistant Ambush Protection
Vehicle",COURSE: LESSON TITLE: MRAP Driver Training Mine Resistant Ambush Protection Vehicle Operations DURATION: TRAINING LEVEL: PREPARED BY: Brett Hibbs 8.0 Hours Special Response Team Officers CLEET Instruc
RPT_010,Training / Equipment,"January 13, 2015",Unknown,Vehicle,"Vehicle
Standard Operating Procedure","Mine Resistant Ambush Protected (MRAP) Vehicle Standard Operating Procedure (SOP) Effective Date: January 13, 2015 Revisions: None PURPOSE: The Jefferson County Sheriff’s Office obtained a Mine Resist"
RPT_011,Training / Equipment,Unknown,• Mount,• Restricted,• Characteristics,"2. The training may be completed by in-service staff instructors, who have completed a train-the-trainer course, or by a contracted company or trained military member who has extensive experience or q"
RPT_012,Training / Equipment,December 2015,Lonoke County Sheriff’s Office,John Staley - Sheriff,County Sheriff’s Office,"Lonoke County Sheriff’s Office John Staley - Sheriff To: From: County Sheriff’s Office DateW: hom it may Concern Ref: Lonoke 1 December 2015 MRAP CountyT hSeh eforilflfo’sw oinffgic deo, bcuym theen U"
RPT_013,Training / Equipment,3001,Lonoke County Sheriff’s Office,John Staley - Sheriff,CLEST Continuing Education Course Mine Resistant,Lonoke County Sheriff’s Office John Staley - Sheriff COURSE: LESSON TITLE: CLEST Continuing Education Course Mine Resistant Ambush DURATION: TRAINING LEVEL: Protection Vehicle Operations PREPARED BY:
RPT_014,Training / Equipment,3001,Lonoke County Sheriff’s Office,John Staley - Sheriff,Agency,Lonoke County Sheriff’s Office John Staley - Sheriff TRAINEE REFERENCE MATERIALS: INSTRUCTOR REFERENCE: MATERIALS: TRAINING AIDS REQUIRED: Provided by the Agency 1. A/V projector 2. Dry Erase 3. MRAP
