id,created_at,text,location_name,country,place_type,username,name,user_location,retweet_count,favorite_count,lang
429129916446031872,Fri Jan 31 05:51:59 +0000 2014,"Active crime scene on I-59/20 near Jeff/Tusc Co line. One dead, one injured; shooting involved. Police search in the area; traffic stopped","Hoover, AL",United States,city,spann,James Spann,Alabama,66.0,4.0,en
429117247307923456,Fri Jan 31 05:01:39 +0000 2014,Police have arrested a suspect in the Monday shooting at the basketball courts behind Word Tabernacle Church. http://t.co/X67i7jajij,,,,telegramreports,Rocky Mount Telegram,"Rocky Mount, N.C.",49.0,6.0,en
429315798893461505,Fri Jan 31 18:10:37 +0000 2014,Lawsuit alleges Chicago Police strip-searched trio in public http://t.co/NGVCe42BUW via @suntimes,,,,RaniaKhalek,Rania Khalek,Northern Virginia,20.0,6.0,en
429079910091476992,Fri Jan 31 02:33:17 +0000 2014,New NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene;  http://t.co/f96jCNY3wV #patriots #liberty,,,,EricBoehlert,Eric Boehlert,,19.0,3.0,en
429030956888899584,Thu Jan 30 23:18:45 +0000 2014,"Police failing to stamp out ‘honour crimes’, from domestic violence and forced marriage to FGM and murder http://t.co/SLuXLgbQbU",,,,thetimes,The Times of London,London,21.0,3.0,en
429152645702352896,Fri Jan 31 07:22:18 +0000 2014,"Today's front page: 
Police failing to stamp out ‘honour crimes’ http://t.co/SLuXLgbQbU http://t.co/w7ft9HW4Vx",,,,thetimes,The Times of London,London,25.0,3.0,en
429016075921940481,Thu Jan 30 22:19:37 +0000 2014,"Town of Tonawanda Police Search for Bank Robbery Suspect
http://t.co/4aJxs3Mv9G http://t.co/320mwHfuPl",,,,WGRZ,WGRZ,"Buffalo, NY",18.0,3.0,en
428898232690044928,Thu Jan 30 14:31:21 +0000 2014,"Due to lack of police protection, #Christians in #Pakistan become easy targets for crime and abuse. http://t.co/6Ld0Zs9h29 ^ws",,,,persecutionnews,persecution.org,"Washington, D.C.",27.0,6.0,en
428956892602191873,Thu Jan 30 18:24:27 +0000 2014,New #NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene http://t.co/ldIDJ75Did,,,,timothywjohnson,Timothy Johnson,"Washington, DC",22.0,4.0,en
429111068368326656,Fri Jan 31 04:37:05 +0000 2014,Commish Batts makes a strong case for legalizing marijuana - to end the violent MJ trade in Baltimore. @baltimoresun http://t.co/A0TRUflAYl,,,,NeillFranklin,Neill Franklin,"Baltimore, MD",18.0,2.0,en
